,Prompt,Actual,Expected,Precision,Recall,F1
322,'What are some popular movies set in Rio de Janeiro?',5,32,0.2,0.07692307692307693,0.1111111111111111
323,'road movie',5,448,0.6,0.2,0.3
324,'road trip',1,270,1.0,0.07692307692307693,0.14285714285714288
325,'What are some popular movies adapted from Roald Dahl's works?',6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
326,'What are some popular movies related to the theme of robbery?',5,207,0.6,0.2,0.3
327,'What are some popular movies starring Robert Downey Jr.?',5,98,0.8,0.25,0.38095238095238093
328,'What are some movies related to the work of Robert Ludlum?',5,8,0.0,0.0,0.0
329,'What are some popular movies featuring robots as main characters or significant roles?',5,162,0.8,0.25,0.38095238095238093
330,'What are some popular movies related to the theme of robots?',6,146,0.6666666666666666,0.25,0.36363636363636365
331,'rock and roll',3,249,1.0,0.2,0.33333333333333337
332,'What are some popular romance movies that have captivated audiences with their love stories?',5,1299,0.8,0.25,0.38095238095238093
333,'What are some popular romantic movies?',5,1238,0.8,0.25,0.38095238095238093
334,'What are some popular romantic comedy movies?',8,861,0.875,0.3684210526315789,0.5185185185185185
335,'What are some popular movies related to the theme of ancient Rome?',7,110,0.42857142857142855,0.2,0.27272727272727276
336,'runaway',4,4579,0.75,0.2,0.31578947368421056
337,'What are some popular movies related to Russia or set in Russia?',6,198,0.5,0.2,0.28571428571428575
338,'What are some popular Russian movies or films that have gained significant attention?',5,245,0.4,0.14285714285714285,0.21052631578947364
339,'What are some movies that involve a character making a significant sacrifice for the greater good?',5,1129,0.4,0.14285714285714285,0.21052631578947364
340,'What are some popular movies that evoke sad emotions?',5,261,0.4,0.14285714285714285,0.21052631578947364
341,'sad but good',5,156,0.4,0.14285714285714285,0.21052631578947364
342,'What are some popular movies related to the samurai theme?',5,100,0.4,0.14285714285714285,0.21052631578947364
343,'What are some popular movies set in San Francisco?',5,194,0.8,0.25,0.38095238095238093
344,'sappy',0,169,0.0,0.0,0.0
345,'What are some movies that use sarcasm as a significant element in their storytelling or character development?',5,369,0.4,0.14285714285714285,0.21052631578947364
346,'What are some popular movies that fall under the category of satire?',5,602,0.4,0.14285714285714285,0.21052631578947364
347,'What are some examples of satirical movies?',5,674,0.4,0.14285714285714285,0.21052631578947364
348,'What are some movies related to Saturday Night Live?',5,208,0.6,0.2,0.3
349,'What is the Saturn Award for Best Science Fiction Film and can you suggest a movie that has won this prestigious award?',5,16,0.0,0.0,0.0
350,'What movies have won the Saturn Award for Best Special Effects?',15,131,0.4666666666666667,0.3684210526315789,0.4117647058823529
351,'What are some popular scary movies?',6,716,0.3333333333333333,0.14285714285714285,0.2
352,'What are some movies with scenic locations that you would recommend?',12,653,0.25,0.2,0.22222222222222224
353,'What are some movies that deal with the theme of schizophrenia?',5,74,0.2,0.07692307692307693,0.1111111111111111
354,'What are some popular movies related to the theme of school?',10,525,0.6,0.3333333333333333,0.42857142857142855
355,'What are some popular science fiction movies?',5,875,0.6,0.2,0.3
356,'What are some popular science-related movies?',6,250,1.0,0.3333333333333333,0.5
357,'What are some popular science fiction movies?',5,838,0.6,0.2,0.3
358,'What are some popular science fiction movies?',5,799,0.6,0.2,0.3
359,'What are some popular sci-fi cult movies?',7,82,0.2857142857142857,0.14285714285714285,0.19047619047619047
360,'What are some popular movies set in Scotland?',5,89,1.0,0.29411764705882354,0.45454545454545453
361,'What are some popular screwball comedy movies?',8,319,0.75,0.3333333333333333,0.46153846153846156
362,'What are some popular screwball comedy movies?',8,143,0.75,0.3333333333333333,0.46153846153846156
363,'What are some popular movies known for their exceptional scripts?',5,122,0.0,0.0,0.0
364,'What are some popular movies related to secret service themes?',5,247,0.6,0.2,0.3
365,'What are some popular movies that involve the theme of secrets or have a plot centered around them?',5,1653,0.2,0.07692307692307693,0.1111111111111111
366,'What are some movies that address the theme of segregation?',5,288,0.8,0.25,0.38095238095238093
367,'What are some movies that focus on self-discovery and personal growth?',6,142,0.3333333333333333,0.14285714285714285,0.2
368,'What are some sentimental movies that evoke strong emotions and often have a focus on relationships and human connections?',6,780,0.8333333333333334,0.29411764705882354,0.4347826086956522
369,'What are some popular movie sequels?',5,642,0.6,0.2,0.3
370,'What are some popular movie sequels?',5,560,0.6,0.2,0.3
371,'What are some popular movies related to the theme of a serial killer?',6,637,0.5,0.2,0.28571428571428575
372,'What are some popular movie series that have gained significant attention and have a large fan following?',8,380,0.0,0.0,0.0
373,'What are some popular movies related to the theme of sex?',5,493,1.0,0.29411764705882354,0.45454545454545453
374,'What are some popular sex comedy movies?',5,72,0.4,0.14285714285714285,0.21052631578947364
375,'What are some movies related to the theme of sexuality or involving sexual content?',10,704,0.6,0.3333333333333333,0.42857142857142855
376,'What are some movies that address the theme of sexual abuse?',5,231,0.4,0.14285714285714285,0.21052631578947364
377,'What are some movies that explore or depict themes related to sexuality?',5,365,0.4,0.14285714285714285,0.21052631578947364
378,'What are some movies that deal with the theme of sexualized violence?',5,1366,0.4,0.14285714285714285,0.21052631578947364
379,'Suggest a movie with a sexy theme or featuring a seductive character.',3,1392,1.0,0.2,0.33333333333333337
380,'What are some famous movies inspired by or adapted from the works of William Shakespeare?',11,59,0.2727272727272727,0.2,0.23076923076923075
381,'What are some movies related to the theme of 'shallow'?',5,546,0.2,0.07692307692307693,0.1111111111111111
382,'What are some popular movies related to sharks?',5,55,0.6,0.2,0.3
383,'What are some popular movies related to the theme of shopping?',5,87,0.6,0.2,0.3
384,'Can you recommend a short movie that is both entertaining and thought-provoking?',1,11,0.0,0.0,0.0
385,'What are some movies that deal with the theme of short-term memory loss?',5,23,0.6,0.2,0.3
386,'What are some popular silent movies or films that have a significant impact on the film industry?',5,238,0.0,0.0,0.0
387,'What are some examples of silly movies that people might enjoy?',5,1220,0.6,0.2,0.3
388,'silly fun',5,1462,0.4,0.14285714285714285,0.21052631578947364
389,'Can you suggest a simple movie that is easy to understand and has a straightforward plot?',5,127,0.0,0.0,0.0
390,'What are some popular movies featuring a single father as the main character?',8,220,0.75,0.3333333333333333,0.46153846153846156
391,'What are some movies related to the skinhead theme or culture?',5,9,0.6,0.3333333333333333,0.42857142857142855
392,'What are some movies related to the 'slackers' theme?',5,64,0.8,0.25,0.38095238095238093
393,'What are some popular slapstick movies that people enjoy watching?',8,390,0.5,0.25,0.3333333333333333
394,'What are some popular slasher movies?',5,293,0.6,0.2,0.3
395,'What are some movies that deal with the theme of slavery?',5,133,0.8,0.25,0.38095238095238093
396,'What are some examples of movies with a slow pace or storyline?',5,159,0.4,0.14285714285714285,0.21052631578947364
397,'slow paced',6,273,0.16666666666666666,0.07692307692307693,0.10526315789473684
398,'What are some popular movies set in a small town?',5,710,0.8,0.25,0.38095238095238093
399,'What are some popular movies related to snakes?',5,101,0.4,0.14285714285714285,0.21052631578947364
400,'so bad it's funny',2,1576,0.0,0.0,0.0
401,'so bad it's good',5,46,0.4,0.14285714285714285,0.21052631578947364
402,'What are some popular movies related to soccer?',5,32,0.2,0.07692307692307693,0.1111111111111111
403,'What are some movies that have a strong focus on social commentary?',5,2614,1.0,0.29411764705882354,0.45454545454545453
404,'What are some movies that depict or explore the theme of solitude?',5,890,1.0,0.29411764705882354,0.45454545454545453
405,'What are some movies directed by Sophia Coppola?',5,11,0.6,0.2727272727272727,0.37499999999999994
406,'What are some popular movies related to South Africa?',5,30,0.8,0.25,0.38095238095238093
407,'What are some popular movies set in South America?',6,23,0.0,0.0,0.0
408,'southern theme',5,12,0.0,0.0,0.0
409,'What are some popular movies related to the space theme?',5,323,0.8,0.25,0.38095238095238093
410,'What are some popular space opera movies?',5,210,0.4,0.14285714285714285,0.21052631578947364
411,'What are some popular movies related to the space program?',8,73,0.5,0.25,0.3333333333333333
412,'What are some popular movies related to space travel?',5,203,0.8,0.25,0.38095238095238093
413,'What are some popular spaghetti western movies?',7,56,0.14285714285714285,0.07692307692307693,0.1
414,'What are some popular movies related to Spain or set in Spain?',5,148,0.2,0.07692307692307693,0.1111111111111111
415,'What are some popular Spanish movies or directors?',17,282,0.17647058823529413,0.2,0.18750000000000003
416,'What are some movies related to the Spanish Civil War?',5,12,0.2,0.08333333333333333,0.11764705882352941
417,'Can you suggest a movie with a unique special feature or character?',3,118,0.0,0.0,0.0
418,'What are some popular movies known for their exceptional special effects?',6,1316,0.6666666666666666,0.25,0.36363636363636365
419,'What movie features a spelling bee competition as its central theme?',3,74,0.6666666666666666,0.14285714285714285,0.23529411764705882
420,'What are some popular movies related to spiders?',5,116,0.4,0.14285714285714285,0.21052631578947364
421,'What are some popular movies directed by Steven Spielberg?',5,42,1.0,0.29411764705882354,0.45454545454545453
422,'What are some popular movies featuring spies as the main characters?',6,241,0.3333333333333333,0.14285714285714285,0.2
423,'What are some popular movies in the splatter genre?',10,1041,0.4,0.25,0.3076923076923077
424,'Can you recommend a movie that is a spoof or has a comedic twist on a popular genre or film?',4,332,0.75,0.2,0.31578947368421056
425,'What are some popular movies related to the sports genre?',7,309,0.5714285714285714,0.25,0.34782608695652173
426,'What are some popular spy movies?',5,263,0.6,0.2,0.3
427,'What are some popular movies involving spying or espionage themes?',6,449,0.5,0.2,0.28571428571428575
428,'What are some popular movies related to stage magic?',5,14,0.2,0.07692307692307693,0.1111111111111111
429,'What are some popular movies related to stand-up comedy?',5,150,0.4,0.14285714285714285,0.21052631578947364
430,'star trek',4,17,0.0,0.0,0.0
431,'Star Wars',11,11,0.6363636363636364,0.6363636363636364,0.6363636363636364
432,'steampunk',5,34,0.4,0.14285714285714285,0.21052631578947364
433,'What are some common stereotypes portrayed in movies?',10,1192,0.5,0.29411764705882354,0.37037037037037035
434,'What are some popular stoner movies?',5,247,0.6,0.2,0.3
435,'What are some popular stop motion movies?',5,166,0.8,0.25,0.38095238095238093
436,'What are some popular movies that have a strong focus on storytelling?',7,3548,0.2857142857142857,0.14285714285714285,0.19047619047619047
437,'What are some movies that showcase exceptional storytelling techniques?',6,3888,0.3333333333333333,0.14285714285714285,0.2
438,'stranded',4,132,1.0,0.25,0.4
439,'What are some examples of strange movies?',5,364,1.0,0.29411764705882354,0.45454545454545453
440,'What are some movies featuring strippers as main characters or significant roles?',7,61,0.5714285714285714,0.25,0.34782608695652173
441,'Studio Ghibli',5,28,0.0,0.0,0.0
442,'stunning',5,730,0.8,0.25,0.38095238095238093
443,'stupid movies',5,414,0.4,0.14285714285714285,0.21052631578947364
444,'stupid as hell',1,695,0.0,0.0,0.0
445,'stupidity',5,424,0.6,0.2,0.3
446,'What are some stylish movies that showcase unique fashion and design elements?',10,1275,0.2,0.14285714285714285,0.16666666666666666
447,'stylized',5,1856,0.6,0.2,0.3
448,'What are some movies related to the theme of suburbia?',5,151,0.6,0.2,0.3
449,'What are some movies related to the theme of suicide?',5,260,0.0,0.0,0.0
450,'suicide attempt',4,122,0.5,0.14285714285714285,0.22222222222222224
451,'What are some popular superhero movies?',5,293,0.4,0.14285714285714285,0.21052631578947364
452,'What are some popular super-hero movies?',5,165,0.4,0.14285714285714285,0.21052631578947364
453,'What are some popular superhero movies?',5,242,0.4,0.14285714285714285,0.21052631578947364
454,'What are some popular superhero movies?',5,403,0.4,0.14285714285714285,0.21052631578947364
455,'What are some popular supernatural movies?',5,848,0.4,0.14285714285714285,0.21052631578947364
456,'Can you recommend a surprisingly clever movie that might leave a lasting impression?',1,980,0.0,0.0,0.0
457,'What are some popular movies related to surfing?',5,25,1.0,0.29411764705882354,0.45454545454545453
458,'What are some movies with a surprise ending?',10,302,0.4,0.25,0.3076923076923077
459,'Can you suggest a surreal movie that has captivated audiences with its unique and imaginative storyline?',2,1047,0.5,0.07692307692307693,0.13333333333333336
460,'What are some surrealist movies that showcase dreamlike or fantastical elements?',7,447,0.42857142857142855,0.2,0.27272727272727276
461,'What are some popular movies that involve survival themes?',6,972,1.0,0.3333333333333333,0.5
462,'What are some popular suspense movies that have kept audiences on the edge of their seats?',8,2909,0.375,0.2,0.26086956521739135
463,'What are some suspenseful movies that you would recommend?',5,1381,0.4,0.14285714285714285,0.21052631578947364
464,'swashbuckler',3,139,0.3333333333333333,0.07692307692307693,0.125
465,'What are some popular Swedish movies or filmmakers?',18,64,0.16666666666666666,0.2,0.1818181818181818
466,'What are some popular movies related to the theme of 'sweet'?',5,589,0.6,0.2,0.3
467,'Switching Places',1,21,1.0,0.07692307692307693,0.14285714285714288
468,'What are some popular movies that involve sword fights?',9,217,0.3333333333333333,0.2,0.25
469,'What are some popular movies featuring sword fighting scenes?',5,153,0.4,0.14285714285714285,0.21052631578947364
470,'What are some popular movies featuring talking animals?',5,312,1.0,0.29411764705882354,0.45454545454545453
471,'What are some popular movies with the theme of talking or communication?',7,2871,0.42857142857142855,0.2,0.27272727272727276
472,'What are some popular movies directed by Quentin Tarantino?',5,19,0.8,0.25,0.38095238095238093
473,'What are some popular movies featuring teachers as main characters or significant roles?',6,286,0.8333333333333334,0.29411764705882354,0.4347826086956522
474,'What are some tear jerker movies that can evoke strong emotions?',8,173,0.625,0.29411764705882354,0.4
475,'What are some movies that have a significant focus on technology or feature advanced technological elements in their storylines?',6,937,0.5,0.2,0.28571428571428575
476,'What are some popular teen movies that have gained significant attention among young audiences?',5,927,0.6,0.2,0.3
477,'What are some popular teen movies?',10,1222,0.6,0.3333333333333333,0.42857142857142855
478,'What are some popular movies featuring teenage characters?',7,706,0.42857142857142855,0.2,0.27272727272727276
479,'What are some popular movies featuring teenagers as main characters?',5,353,0.2,0.07692307692307693,0.1111111111111111
480,'What are some popular movies featuring teenage characters?',6,869,0.3333333333333333,0.14285714285714285,0.2
481,'What are some popular movies that involve the concept of teleportation?',8,79,0.375,0.2,0.26086956521739135
482,'What are some popular movies or TV shows related to the television industry?',11,63,0.09090909090909091,0.07692307692307693,0.08333333333333334
483,'What are some movies that explore the concept of tense in their storylines?',5,1972,0.8,0.25,0.38095238095238093
484,'What are some movies that deal with the theme of terminal illness?',5,115,0.2,0.07692307692307693,0.1111111111111111
485,'What are some movies related to the theme of terrorism?',5,150,0.4,0.14285714285714285,0.21052631578947364
486,'What are some popular movies related to Texas?',6,229,0.8333333333333334,0.29411764705882354,0.4347826086956522
487,'What are some thought-provoking movies that have left a deep impact on viewers?',6,800,0.6666666666666666,0.25,0.36363636363636365
488,'What are some popular thriller movies?',5,1197,0.4,0.14285714285714285,0.21052631578947364
489,'What are some movies that deal with the concept of time in a significant way?',6,70,0.5,0.2,0.28571428571428575
490,'time loop',5,90,0.6,0.2,0.3
491,'time travel',5,119,0.8,0.25,0.38095238095238093
492,'What are some popular movies related to the theme of Tokyo?',5,337,0.6,0.2,0.3
493,'What are some popular movies related to the Tolkien universe?',6,7,0.16666666666666666,0.14285714285714285,0.15384615384615383
494,'What are some popular movies related to the Tom Clancy franchise?',5,126,0.6,0.2,0.3
495,'What are some movies that are considered too long by the audience?',5,82,0.4,0.14285714285714285,0.21052631578947364
496,'What are some movies that are considered too short in terms of runtime?',5,43,0.0,0.0,0.0
497,'torture',3,322,1.0,0.2,0.33333333333333337
498,'What are some movies that have a theme of touching or emotional connection?',5,1146,0.4,0.14285714285714285,0.21052631578947364
499,'What are some popular movies related to the theme of toys?',5,48,0.4,0.14285714285714285,0.21052631578947364
500,'tragedy',5,1321,0.6,0.2,0.3
501,'What are some popular movies related to the theme of trains?',5,87,0.4,0.14285714285714285,0.21052631578947364
502,'What are some popular movies featuring trains as a significant element?',7,32,0.42857142857142855,0.2,0.27272727272727276
503,'What are some popular movies that involve a significant transformation or change in the characters or storyline?',6,655,0.16666666666666666,0.07692307692307693,0.10526315789473684
504,'What are some popular movies that involve travel or feature interesting destinations?',6,42,0.3333333333333333,0.14285714285714285,0.2
505,'What are some popular movies related to the theme of treasure hunting?',11,63,0.2727272727272727,0.2,0.23076923076923075
506,'What are some popular movies that involve a treasure hunt as a central theme?',5,128,0.6,0.2,0.3
507,'What are some examples of tricky movies?',5,284,0.4,0.14285714285714285,0.21052631578947364
508,'What are some popular movie trilogies?',5,197,0.0,0.0,0.0
509,'true story',0,688,0.0,0.0,0.0
510,'What is a famous movie adaptation of Truman Capote's work?',2,5,1.0,0.4,0.5714285714285715
511,'What are some popular movies with a twist in their plot?',5,910,0.4,0.14285714285714285,0.21052631578947364
512,'twist ending',5,803,0.4,0.14285714285714285,0.21052631578947364
513,'Can you recommend a movie with twists and turns in its plot?',5,1900,0.4,0.14285714285714285,0.21052631578947364
514,'Undercover cop',5,192,0.6,0.2,0.3
515,'What are some popular movies featuring underdog characters or stories?',5,208,0.6,0.2,0.3
516,'Can you suggest any underrated movies that deserve more recognition?',5,308,0.0,0.0,0.0
517,'Understated movies',5,61,0.0,0.0,0.0
518,'Underwater movies',5,45,0.2,0.07692307692307693,0.1111111111111111
519,'unfunny movies',6,94,0.3333333333333333,0.14285714285714285,0.2
520,'unintentionally funny movies',5,29,0.2,0.07692307692307693,0.1111111111111111
521,'What are some unique movies that stand out from the crowd?',6,65,0.5,0.2,0.28571428571428575
522,'What are some movies related to the United Nations?',5,43,0.0,0.0,0.0
523,'unlikeable characters',5,135,0.0,0.0,0.0
524,'What are some examples of movies featuring unlikely friendships?',5,1491,0.6,0.2,0.3
525,'unrealistic',3,106,0.3333333333333333,0.07692307692307693,0.125
526,'unusual plot structure',5,1106,0.4,0.14285714285714285,0.21052631578947364
527,'us history',4,526,0.75,0.2,0.31578947368421056
528,'What are some movies related to the theme of utopia?',5,134,0.4,0.14285714285714285,0.21052631578947364
529,'vampire',5,119,0.6,0.2,0.3
530,'vampire human love',6,112,0.3333333333333333,0.14285714285714285,0.2
531,'vampires',5,117,0.6,0.2,0.3
532,'What are some popular movies related to the theme of vengeance?',6,3111,0.6666666666666666,0.25,0.36363636363636365
533,'What are some very funny movies?',10,1433,0.8,0.4,0.5333333333333333
534,'What are some very good movies that people generally enjoy?',11,649,0.36363636363636365,0.25,0.2962962962962963
535,'What are some very interesting movies that people might enjoy watching?',5,1880,0.4,0.14285714285714285,0.21052631578947364
536,'What are some popular movies related to the video game theme?',8,179,0.625,0.29411764705882354,0.4
537,'Video game adaptation movies',8,59,0.625,0.29411764705882354,0.4
538,'What are some movies related to the video games theme?',6,54,0.5,0.2,0.28571428571428575
539,'videogame',0,49,0.0,0.0,0.0
540,'What are some popular movies related to the theme of Vienna?',5,28,0.4,0.14285714285714285,0.21052631578947364
541,'What are some popular movies related to the Vietnam War?',7,57,0.7142857142857143,0.29411764705882354,0.4166666666666667
542,'What are some movies related to the Vietnam War?',7,68,0.7142857142857143,0.29411764705882354,0.4166666666666667
543,'What are some movies related to the 'View Askew' production company founded by Kevin Smith?',8,39,0.75,0.3333333333333333,0.46153846153846156
544,'What are some popular movies featuring vigilante characters or themes?',5,361,0.6,0.2,0.3
545,'What are some movies that depict or involve themes related to vigilantism?',6,209,0.6666666666666666,0.25,0.36363636363636365
546,'What are some popular movies that involve violence as a significant theme?',8,2375,0.5,0.25,0.3333333333333333
547,'What are some popular movies with a violent theme?',5,1897,0.6,0.2,0.3
548,'What are some movies that deal with the theme of virginity or explore the concept of losing one's virginity?',7,157,0.5714285714285714,0.25,0.34782608695652173
549,'What are some popular movies related to the theme of virtual reality?',5,61,0.2,0.07692307692307693,0.1111111111111111
550,'What are some popular movies related to the theme of a virus outbreak?',5,134,1.0,0.29411764705882354,0.45454545454545453
551,'Can you recommend a visceral movie that evokes strong emotional responses?',3,1280,1.0,0.2,0.33333333333333337
552,'What are some popular movies that have visually stunning scenes or cinematography?',9,1468,0.8888888888888888,0.4,0.5517241379310346
553,'What are some visually appealing movies that have captivated audiences with their stunning visuals and cinematography?',7,3003,0.7142857142857143,0.29411764705882354,0.4166666666666667
554,'What are some visually stunning movies that have left a lasting impression on viewers?',6,1241,0.8333333333333334,0.29411764705882354,0.4347826086956522
555,'What are some movies known for their stunning visuals and impressive cinematography?',6,446,0.6666666666666666,0.25,0.36363636363636365
556,'What are some popular movies related to the theme of voodoo?',5,37,0.2,0.07692307692307693,0.1111111111111111
557,'What are some movies that explore or depict themes related to voyeurism?',5,179,0.6,0.2,0.3
558,'What are some popular war movies that have been well-received by audiences?',5,612,0.8,0.25,0.38095238095238093
559,'war movie',5,300,1.0,0.29411764705882354,0.45454545454545453
560,'What are some popular movies set during wartime?',10,578,0.8,0.4,0.5333333333333333
561,'What movies are considered a waste of time by some viewers?',5,2,0.0,0.0,0.0
562,'watch the credits',2,112,0.0,0.0,0.0
563,'What are some popular movies that involve the use of weapons prominently in their storylines?',7,1187,0.42857142857142855,0.2,0.27272727272727276
564,'What are some popular movies related to the theme of weddings?',5,123,0.8,0.25,0.38095238095238093
565,'What are some movies related to the theme of weed?',5,190,0.8,0.25,0.38095238095238093
566,'Weird movies',5,3770,1.0,0.29411764705882354,0.45454545454545453
567,'werewolf',5,73,0.6,0.2,0.3
568,'Werewolves',5,90,0.4,0.14285714285714285,0.21052631578947364
569,'What are some popular western movies?',5,228,0.6,0.2,0.3
570,'Whimsical movies',5,777,0.4,0.14285714285714285,0.21052631578947364
571,'What are some popular movies set in the wilderness or featuring wilderness themes?',7,228,0.7142857142857143,0.29411764705882354,0.4166666666666667
572,'What are some popular movies related to the theme of wine?',5,93,0.6,0.2,0.3
573,'wistful',3,123,0.6666666666666666,0.14285714285714285,0.23529411764705882
574,'What are some popular movies related to the theme of witches?',5,163,0.4,0.14285714285714285,0.21052631578947364
575,'What are some popular movies featuring witches as main characters or significant roles?',8,127,0.5,0.25,0.3333333333333333
576,'Can you recommend a witty movie that has a memorable dialogue?',2,1006,0.5,0.07692307692307693,0.13333333333333336
577,'wizards',5,100,0.2,0.07692307692307693,0.1111111111111111
578,'Women in movies',5,1431,0.2,0.07692307692307693,0.1111111111111111
579,'What are some movies that feature working-class characters or storylines?',5,146,0.2,0.07692307692307693,0.1111111111111111
580,'What are some popular movies that feature a workplace setting?',6,278,0.6666666666666666,0.25,0.36363636363636365
581,'world politics',5,394,0.4,0.14285714285714285,0.21052631578947364
582,'World War I',5,107,0.8,0.25,0.38095238095238093
583,'World War II',4,361,0.75,0.2,0.31578947368421056
584,'What are some movies that focus on the life and experiences of a writer?',5,93,0.4,0.14285714285714285,0.21052631578947364
585,'What are some popular movies where the writers played a significant role in their creation or success?',5,572,0.0,0.0,0.0
586,'What are some popular movies that have a significant focus on writing or feature writers as main characters?',6,104,0.6666666666666666,0.25,0.36363636363636365
587,'wuxia',4,87,0.0,0.0,0.0
588,'What are some popular movies related to World War II?',10,318,0.6,0.3333333333333333,0.42857142857142855
589,'What are some popular movies related to the zombie genre?',6,212,1.0,0.3333333333333333,0.5
590,'What are some popular movies featuring zombies as the main theme or plot?',6,125,1.0,0.3333333333333333,0.5
